City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
76,Santa Cruz,-17.8,-63.1667,23.7,53,20,7.72,BO,2023-07-15
77,Sault Ste. Marie,46.5168,-84.3333,25.16,63,75,3.09,CA,2023-07-15
78,Riviere-Du-Loup,47.8304,-69.5342,21.15,83,90,2.57,CA,2023-07-15
79,Papa,47.33,17.4674,23.96,78,0,2.06,HU,2023-07-15
80,Taroudant,30.4703,-8.877,26.89,47,4,3.91,MA,2023-07-15
81,Mejit,10.2753,170.8646,28.0,77,30,6.75,MH,2023-07-15
82,Otradnaya,44.3933,41.5206,17.19,88,26,3.68,RU,2023-07-15
83,Jackson,42.4165,-122.8345,35.76,27,0,3.09,US,2023-07-15
84,Kangiwa,12.5521,3.8187,32.14,49,37,0.74,NG,2023-07-15
85,Hassi Messaoud,31.6804,6.0729,36.92,7,0,2.06,DZ,2023-07-15
86,Sungailiat,-1.85,106.1333,25.44,80,100,1.77,ID,2023-07-15
87,Lorengau,-2.0226,147.2712,27.5,82,63,6.05,PG,2023-07-15
88,Holualoa,19.6228,-155.9522,24.91,80,75,5.14,US,2023-07-15
89,Vilyuchinsk,52.9306,158.4028,13.15,91,100,1.57,RU,2023-07-15
90,Chernushka,56.5072,56.0766,14.02,89,96,3.59,RU,2023-07-15
91,Le Port,-20.9373,55.2919,22.0,94,51,1.76,RE,2023-07-15
92,Colonia,50.9333,6.95,23.13,59,20,2.06,DE,2023-07-15
93,Pasighat,28.0667,95.3333,25.47,89,47,0.54,IN,2023-07-15
94,Palembang,-2.9167,104.7458,25.05,100,20,1.03,ID,2023-07-15
95,Nadi,-17.8,177.4167,19.0,94,100,0.0,FJ,2023-07-15
96,San Patricio,28.017,-97.5169,40.65,36,13,8.42,US,2023-07-15
97,Longyearbyen,78.2186,15.6401,11.91,62,0,7.72,SJ,2023-07-15
98,Saipan,15.1355,145.701,28.39,100,20,4.12,MP,2023-07-15
99,Port Saint John'S,-31.6229,29.5448,18.83,49,34,4.16,ZA,2023-07-15
100,Viedma,-40.8135,-62.9967,9.0,64,95,10.3,AR,2023-07-15
101,Coronel Du Graty,-27.6804,-60.9146,20.57,41,0,1.19,AR,2023-07-15
102,Jamestown,42.097,-79.2353,29.45,53,20,3.09,US,2023-07-15
103,Masterton,-40.9597,175.6575,13.27,74,100,8.84,NZ,2023-07-15
104,Hithadhoo,-0.6,73.0833,27.75,75,1,0.85,MV,2023-07-15
105,Midvagur,62.0511,-7.1939,12.46,82,100,6.17,FO,2023-07-15
